signal_month,gross_log_contribution,cost_log_contribution,relative_log_wealth_contribution,current_entry_turnover,hybrid_entry_turnover,current_entry_cost,hybrid_entry_cost,gross_observations,execution_date,same_top4,incumbent_top4,hybrid_top4,leaving_incumbent,entering_hybrid,n_swaps,relative_wealth_multiplier,approx_relative_return_pp,positive_contribution
2017-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017-04-03,True,"IWM, QQQ, SPY, TLT","IWM, QQQ, SPY, TLT",,,0,1.0,0.0,False
2017-04,0.0,0.0,0.0,0.2565897121905141,0.2565897121905141,0.0005131794243810281,0.0005131794243810281,22,2017-05-01,True,"EWY, QQQ, SPY, TLT","EWY, QQQ, SPY, TLT",,,0,1.0,0.0,False
2017-05,0.015411648792412129,0.0,0.015411648792412129,0.26039260736807357,0.26039260736807357,0.0005207852147361471,0.0005207852147361471,22,2017-06-01,False,"GLD, QQQ, SPY, TLT","IWM, QQQ, SPY, TLT",GLD,IWM,1,1.015531020702587,1.553102070258694,True
2017-06,-0.004637596785343432,-7.498804914012817e-06,-0.004645095590257445,0.25496274854628614,0.25871022503656577,0.0005099254970925723,0.0005174204500731315,20,2017-07-03,False,"EWY, QQQ, SPY, TLT","EWY, IWM, QQQ, TLT",SPY,IWM,1,0.9953656761811738,-0.4634323818826225,False
2017-07,0.0,-0.0004941464998654176,-0.0004941464998654176,0.007962578570035225,0.25497085965742267,1.592515714007045e-05,0.0005099417193148453,23,2017-08-01,True,"EWY, QQQ, SPY, TLT","EWY, QQQ, SPY, TLT",,,0,0.9995059755704085,-0.04940244295914553,False
2017-08,0.0,0.0,0.0,0.0070414623777735885,0.0070414623777735885,1.4082924755547178e-05,1.4082924755547178e-05,20,2017-09-01,True,"EWY, QQQ, SPY, TLT","EWY, QQQ, SPY, TLT",,,0,1.0,0.0,False
2017-09,0.0,0.0,0.0,0.25098831948240047,0.25098831948240047,0.000501976638964801,0.000501976638964801,22,2017-10-02,True,"EWY, GLD, QQQ, SPY","EWY, GLD, QQQ, SPY",,,0,1.0,0.0,False
2017-10,0.00260668797193873,0.0004898883174012913,0.0030965762893400217,0.49999999999999994,0.25524083802603165,0.0009999999999999998,0.0005104816760520633,21,2017-11-01,False,"EWY, IWM, QQQ, TLT","EWY, IWM, QQQ, SPY",TLT,SPY,1,1.0031013756342653,0.3101375634265269,True
2017-11,0.003275284445846241,0.000498865496337275,0.0037741499421835153,0.2567856796757988,0.007418837937661835,0.0005135713593515976,1.483767587532367e-05,20,2017-12-01,False,"DBC, EWY, QQQ, TLT","EWY, IWM, QQQ, SPY","DBC, TLT","IWM, SPY",2,1.0037812810144997,0.37812810144997044,True
2017-12,0.016044508282517436,0.000504588919643685,0.016549097202161116,0.25681870076540647,0.004590198312207194,0.000513637401530813,9.18039662441439e-06,21,2018-01-02,False,"DBC, IWM, QQQ, TLT","EWY, IWM, QQQ, SPY","DBC, TLT","EWY, SPY",2,1.0166867920376592,1.6686792037659215,True
2018-01,0.0010149704392585384,0.0004831408464059234,0.001498111285664462,0.49999999999999994,0.2586128399173089,0.0009999999999999998,0.0005172256798346178,19,2018-02-01,False,"DBC, EEM, EWY, QQQ","DBC, EWY, IWM, QQQ",EEM,IWM,1,1.0014992340149644,0.14992340149644345,True
2018-02,0.0,0.0004993903814304615,0.0004993903814304615,0.5068969148133425,0.257392568691797,0.001013793829626685,0.000514785137383594,21,2018-03-01,True,"EWY, IWM, QQQ, SPY","EWY, IWM, QQQ, SPY",,,0,1.0004995150975668,0.04995150975668494,True
2018-03,0.0026792229797976816,9.469980801692698e-06,0.0026886929605993747,0.2641992218952317,0.25946671104758645,0.0005283984437904634,0.0005189334220951729,21,2018-04-02,False,"EEM, EWY, QQQ, SPY","EEM, EWY, IWM, QQQ",SPY,IWM,1,1.0026923107371544,0.26923107371543686,True
