direction,signal_month,execution_date,leaving_incumbent,entering_hybrid,relative_log_wealth_contribution,approx_relative_return_pp,gross_log_contribution,cost_log_contribution
Favorable,2021-11,2021-12-01,TLT,VNQ,0.03829812228115347,3.9040947967339257,0.037807599034896,0.0004905232462574729
Favorable,2026-01,2026-02-02,TLT,GLD,0.02751300399327356,2.7894981759771342,0.026512527644928483,0.0010004763483450778
Favorable,2020-03,2020-04-01,GLD,QQQ,0.021415522109122818,2.1646480151916725,0.021451913184977953,-3.6391075855132706e-05
Favorable,2023-11,2023-12-01,GLD,VNQ,0.020584368296723547,2.07976875724718,0.020083986619751394,0.0005003816769721558
Favorable,2018-04,2018-05-01,GLD,IWM,0.01788136526580506,1.8042194060354122,0.01788269735808426,-1.3320922792045076e-06
Unfavorable,2021-06,2021-07-01,TLT,IWM,-0.02370313720690066,-2.342442431635361,-0.02370313720690066,0.0
Unfavorable,2024-02,2024-03-01,GLD,QQQ,-0.019070351109029444,-1.8889662385476513,-0.01908152640822691,1.1175299197462474e-05
Unfavorable,2021-08,2021-09-01,"GLD, TLT","EWY, SPY",-0.016941208413655855,-1.6798513089139377,-0.016953438732307903,1.2230318652048768e-05
Unfavorable,2022-06,2022-07-01,EWY,GLD,-0.01413638080938426,-1.403693134820172,-0.014632037623084517,0.0004956568137002535
Unfavorable,2023-04,2023-05-01,EWY,IWM,-0.01309890528394953,-1.301348798857338,-0.013592428690975409,0.0004935234070258823
